source,target
"What is the definition of blockchain?","The Blockchain Foundation is a non-profit organisation that promotes the adoption of Blockchain technology."
"What is the aim of this paper?","The aim of this paper is to show how to design algorithms for the problem of the distribution of the number of points of a series of triplets."
"What is your occupation?","I am a chatbot in charge of fostering learning about AI."
"What is the name of the robot that was created from a living frog embryo?","A robot that has been designed from scratch from a living frog embryo has been unveiled at the European Society for the Study of Reproduction (ESSR) conference in Berlin."
"What is the definition of grafo?","Graph theory is a branch of mathematics that deals with the relationship between data and people."
"What is the name of the tool that is used to learn how to use a website?","This is a very useful tool for learning how to use a website."
"What is the name of the algorithm used by Google?","Google has been accused of manipulating its search results to favour its own products and services over those of rivals such as Yahoo and Bing."
"What is the term for data science?","Data science is a branch of science that uses data to solve problems."
"What is the term for the Internet of Things?","The Internet of Things (IoT) is a growing trend in the technology industry."
"What is the definition of sobreajuste?","A new study suggests that a neural network can be overfitted."
"What is the classification of data by?","In this paper we will discuss the classification of data by the following criteria:"
"What is the name of the variable that is used in the following table?","The following table lists all the observations made by the /////////////////////////////////////////////////////////"
"What is the name of the technology that allows the transfer of information between computers?","Blockchain is a technology that allows the transfer of information between computers."
"What is the definition of a cryptographic hash function?","This page describes the use of a cryptographic hash function in the Python programming language."
"What is the main feature of the aprendizaje?","In this paper we show how to train a group of unsupervised learning algorithms."
"What is the name of the algorithm that Facebook uses to find out what you're interested in?","Facebook has revealed that it is using Edgerank to find out what you're most likely to be interested in on the site."
"What is the definition of a metaverse?","The idea of a metaverse is a new way of exploring the universe."
"What is the name of the paper that describes the use of ofrative models to train computer systems to discriminate between real and artificial examples?","This paper describes the use ofrative models to train computer systems to discriminate between real and artificial examples."
"What's your name?","My name is Sara. What would you like to talk about?"
"What type of technology is expected to be the fastest growing segment of the global market?","The telecommunications sector is expected to be one of the fastest growing segments in the global blockchain market."
"What is the name of the machine that is the most important in computer science?","The Turing machine and the complexity of its solutions are two of the most important topics in computer science."
"What is the definition of smart data?","The term Smart Data is a description of a technology that uses data to make information more useful."
"What is the name of the algorithm?","The algorithm is a set of instructions that is used to solve problems."
"What is the definition of overfitting?","The term 'overfitting' is a common term used in machine learning to describe problems with models that are too complex to be understood by humans."
"What is the definition of a model?","AI is a branch of science that aims to improve the way we think about and use data."
"What is the term for a computer scientist who uses data to solve problems?","Data science is a branch of computer science that uses data to solve problems."
